"index","full_name","brand_name","resale_price","registered_year","engine_capacity(cc)","insurance","transmission_type","kms_driven","Hand","fuel_type","max_power(bhp)","seats","mileage(kmpl)","body_type","city"
7686,"Hyundai i20 1.2 Sportz Option","Hyundai",345000,2012,1197,"1","Manual",88000,"2nd","Petrol",80.0,5.0,17.0,"Hatchback","Pune"
7687,"Mercedes-Benz GLE 250d","Mercedes-Benz",3500000,2017,2143,"1","Automatic",100000,"2nd","Diesel",201.15,5.0,17.9,"SUV","Pune"
7688,"Hyundai i10 Magna 1.1L","Hyundai",265000,2013,1086,"1","Manual",83000,"3rd","Petrol",68.05,5.0,19.81,"Hatchback","Pune"
7689,"Hyundai i20 Asta","Hyundai",310000,2012,1197,"1","Manual",57000,"3rd","Petrol",81.8,5.0,21.0,"Hatchback","Pune"
7690,"Maruti Baleno 1.2 Delta","Maruti",565000,2016,1197,"1","Manual",14395,"2nd","Petrol",83.1,5.0,21.4,"Hatchback","Pune"
7691,"Honda Brio VX","Honda",425000,2015,1198,"1","Manual",29500,"2nd","Petrol",86.8,5.0,19.4,"Hatchback","Pune"
7692,"Volkswagen Vento Diesel Highline","Volkswagen",350000,2013,1598,"1","Manual",77000,"2nd","Diesel",103.6,5.0,20.54,"Sedan","Pune"
7693,"Mahindra XUV500 W8 2WD","Mahindra",700000,2015,2179,"1","Manual",92000,"2nd","Diesel",140.0,7.0,16.0,"SUV","Pune"
7694,"Volkswagen Vento 1.6 Highline","Volkswagen",350000,2014,1598,"1","Manual",40000,"2nd","Petrol",103.2,5.0,15.04,"Sedan","Pune"
7695,"Renault Duster 110PS Diesel RxZ","Renault",430000,2013,1461,"1","Manual",72000,"2nd","Diesel",108.45,5.0,19.01,"SUV","Pune"
7696,"Skoda Superb Elegance 2.0 TDI CR AT","Skoda",480000,2011,1968,"1","Automatic",62000,"3rd","Diesel",138.1,5.0,17.2,"Sedan","Pune"
7697,"Volkswagen Passat Diesel Comfortline 2.0 TDI","Volkswagen",530000,2012,1968,"1","Manual",110000,"3rd","Diesel",167.7,5.0,18.33,"Sedan","Pune"
7698,"Honda New Accord 2.4 Elegance A/T","Honda",300000,2010,2354,"1","Automatic",91000,"2nd","Petrol",180.0,5.0,10.2,"Sedan","Pune"
7699,"Honda Brio S MT","Honda",387000,2016,1198,"1","Manual",70000,"2nd","Petrol",86.8,5.0,19.4,"Hatchback","Pune"
7700,"Skoda Rapid 1.5 TDI AT Style BSIV","Skoda",895000,2018,1498,"1","Automatic",75000,"2nd","Diesel",108.6,5.0,21.72,"Sedan","Pune"
7701,"Skoda Kodiaq 2.0 TDI Style","Skoda",2395000,2018,1968,"1","Automatic",95000,"2nd","Diesel",148.0,7.0,16.25,"SUV","Pune"
7702,"Skoda Octavia Ambition Plus 2.0 TDI AT","Skoda",1295000,2018,1968,"1","Automatic",120000,"2nd","Diesel",141.0,5.0,19.3,"Sedan","Pune"
7703,"Jeep Compass 2.0 Limited Option","Jeep",1195000,2017,1956,"1","Manual",87000,"2nd","Diesel",170.0,5.0,17.1,"SUV","Pune"
7704,"Mahindra Thar LX 4-Str Hard Top Diesel AT BSVI","Mahindra",1695000,2021,2184,"1","Automatic",14000,"2nd","Diesel",130.0,4.0,0.0,"SUV","Pune"
7705,"Maruti Baleno Zeta Diesel","Maruti",735000,2018,1248,"1","Manual",66388,"2nd","Diesel",74.0,5.0,27.39,"Hatchback","Pune"
7706,"Honda City i VTEC VX","Honda",725000,2016,1497,"1","Manual",48572,"2nd","Petrol",117.3,5.0,17.4,"Sedan","Pune"
7707,"Toyota Corolla Altis GL","Toyota",310000,2010,1798,"1","Manual",70000,"2nd","Petrol",138.1,5.0,14.53,"Sedan","Pune"
7708,"Tata New Safari XZ Plus 6 Str Adventure Edition BSVI","Tata",2100000,2021,1956,"1","Manual",60000,"2nd","Diesel",167.67,6.0,16.14,"SUV","Hyderabad"
7709,"Maruti S-Presso VXI Plus 2019-2022","Maruti",537000,2023,998,"1","Manual",9939,"3rd","Petrol",65.71,5.0,21.7,"Hatchback","Hyderabad"
7710,"Maruti Celerio ZXI AMT","Maruti",556000,2019,998,"0","Automatic",30318,"2nd","Petrol",65.71,5.0,26.0,"Hatchback","Hyderabad"
7711,"Volkswagen Ameo 1.0 MPI Comfortline","Volkswagen",579000,2019,999,"1","Manual",46451,"2nd","Petrol",75.0,5.0,19.44,"Sedan","Hyderabad"
7712,"Audi Q5 2.0 TDI","Audi",1800000,2013,1968,"1","Automatic",100000,"3rd","Diesel",174.3,5.0,14.16,"SUV","Hyderabad"
7713,"Maruti Vitara Brezza VXI","Maruti",831000,2021,1462,"1","Manual",51599,"2nd","Petrol",103.26,5.0,17.03,"SUV","Hyderabad"
7714,"Maruti Baleno 1.2 Zeta","Maruti",658000,2017,1197,"1","Manual",78031,"2nd","Petrol",83.1,5.0,21.4,"Hatchback","Hyderabad"
7715,"Maruti Wagon R Stingray VXI","Maruti",414000,2014,998,"1","Manual",56367,"3rd","Petrol",67.04,5.0,20.51,"Hatchback","Hyderabad"
7716,"MG Astor Smart BSVI","MG",1450000,2022,1498,"1","Manual",2500,"2nd","Petrol",108.49,5.0,15.43,"SUV","Hyderabad"
7717,"Mahindra Scorpio SLE 7S BSIV","Mahindra",425000,2010,2179,"1","Manual",120000,"3rd","Diesel",120.0,7.0,12.05,"SUV","Hyderabad"
7718,"Renault Pulse RxL Optional","Renault",330000,2017,1461,"1","Manual",90000,"3rd","Diesel",63.1,5.0,23.08,"Hatchback","Hyderabad"
7719,"Maruti Vitara Brezza ZDi Plus","Maruti",1045000,2019,1248,"1","Manual",82000,"2nd","Diesel",88.5,5.0,24.3,"SUV","Hyderabad"
7720,"Hyundai Xcent 1.1 CRDi S","Hyundai",445000,2016,1120,"1","Manual",120000,"3rd","Diesel",71.0,5.0,24.4,"Sedan","Hyderabad"
7721,"Skoda Rapid 1.6 TDI Ambition","Skoda",360000,2012,1598,"1","Manual",120000,"3rd","Diesel",103.5,5.0,20.5,"Sedan","Hyderabad"
7722,"Hyundai Verna 1.6 SX","Hyundai",465000,2013,1582,"1","Manual",60000,"3rd","Diesel",126.32,5.0,22.32,"Sedan","Hyderabad"
7723,"Honda City V MT","Honda",1149000,2021,1498,"1","Manual",18800,"2nd","Petrol",119.35,5.0,18.6,"Sedan","Hyderabad"
7724,"Renault Pulse RxL Optional","Renault",250000,2017,1461,"1","Manual",90000,"3rd","Diesel",63.1,5.0,23.08,"Hatchback","Hyderabad"
7725,"Hyundai i20 1.2 Magna","Hyundai",350000,2011,1197,"1","Manual",70000,"3rd","Petrol",80.0,5.0,18.5,"Hatchback","Hyderabad"
7726,"Volkswagen Polo GT 1.0 TSI Matt Edition","Volkswagen",880000,2021,999,"0","Automatic",28618,"2nd","Petrol",108.62,5.0,16.47,"Hatchback","Hyderabad"
7727,"Hyundai Elantra 1.6 SX Option AT","Hyundai",1450000,2018,1582,"1","Automatic",30000,"2nd","Diesel",126.2,5.0,18.23,"Sedan","Hyderabad"
7728,"Maruti Swift Dzire VXI","Maruti",452000,2013,1197,"1","Manual",67473,"2nd","Petrol",88.5,5.0,22.41,"Sedan","Hyderabad"
7729,"Maruti Celerio VXI","Maruti",363000,2015,998,"1","Manual",65528,"3rd","Petrol",65.71,5.0,25.24,"Hatchback","Hyderabad"
7730,"Jaguar XJ 3.0L Portfolio","Jaguar",6300000,2018,2993,"1","Automatic",60000,"3rd","Diesel",301.73,5.0,14.47,"Sedan","Hyderabad"
7731,"Hyundai i10 Sportz AT","Hyundai",334000,2012,1197,"1","Automatic",61609,"3rd","Petrol",78.9,5.0,16.95,"Hatchback","Hyderabad"
7732,"Maruti Alto 800 LXI","Maruti",287000,2017,796,"1","Manual",76580,"2nd","Petrol",47.33,5.0,22.05,"Hatchback","Hyderabad"
7733,"Maruti Vitara Brezza VXI","Maruti",970000,2021,1462,"1","Manual",27000,"2nd","Petrol",103.26,5.0,17.03,"SUV","Hyderabad"
7734,"Hyundai i10 Sportz","Hyundai",332000,2013,1197,"1","Manual",27109,"2nd","Petrol",78.9,5.0,20.36,"Hatchback","Hyderabad"
7735,"Force One EX","Force",350000,2012,2650,"1","Manual",60000,"4th","Diesel",80.84,7.0,17.0,"SUV","Hyderabad"
7737,"Maruti Baleno Alpha","Maruti",890000,2020,1197,"1","Manual",12000,"2nd","Petrol",81.8,5.0,21.01,"Hatchback","Hyderabad"
7738,"Fiat Punto 1.3 Dynamic","Fiat",295000,2014,1248,"1","Manual",100000,"2nd","Diesel",75.0,5.0,20.3,"Hatchback","Hyderabad"
