"index","full_name","brand_name","resale_price","registered_year","engine_capacity(cc)","insurance","transmission_type","kms_driven","Hand","fuel_type","max_power(bhp)","seats","mileage(kmpl)","body_type","city"
0,"Maruti Baleno 1.2 Alpha","Maruti",545000,2017,1197,"1","Manual",40000,"2nd","Petrol",83.1,5.0,21.4,"Hatchback","Agra"
1,"Tata Hexa XTA","Tata",1000000,2018,2179,"1","Automatic",70000,"2nd","Diesel",153.86,7.0,17.6,"MUV","Agra"
2,"Maruti Swift Dzire VXI","Maruti",450000,2015,1197,"1","Manual",70000,"3rd","Petrol",83.14,5.0,20.85,"Sedan","Agra"
3,"Maruti Swift Dzire VXI","Maruti",450000,2015,1197,"1","Manual",70000,"3rd","Petrol",83.14,5.0,20.85,"Sedan","Agra"
4,"Hyundai i10 Magna 1.1","Hyundai",160000,2009,1086,"1","Manual",80000,"2nd","Petrol",68.05,5.0,19.81,"Hatchback","Agra"
5,"Hyundai i20 Active 1.2","Hyundai",470000,2015,1197,"1","Manual",70000,"2nd","Petrol",81.86,5.0,17.19,"Hatchback","Agra"
6,"Tata Tiago 1.05 Revotorq XZ","Tata",360000,2017,1047,"1","Manual",120000,"2nd","Diesel",69.0,5.0,27.28,"Hatchback","Agra"
7,"Hyundai i10 Magna 1.1","Hyundai",200000,2010,1086,"1","Manual",60000,"3rd","Petrol",68.05,5.0,19.81,"Hatchback","Agra"
8,"Maruti Eeco 7 Seater Standard BSIV","Maruti",370000,2016,1196,"1","Manual",20000,"2nd","Petrol",73.0,7.0,15.37,"Minivans","Agra"
9,"Hyundai Santro Xing GL","Hyundai",120000,2009,1086,"1","Manual",30000,"2nd","Petrol",62.0,5.0,0.0,"Hatchback","Agra"
10,"Honda Amaze E i-Vtech","Honda",330000,2014,1198,"1","Manual",70000,"2nd","Petrol",86.7,5.0,18.0,"Sedan","Agra"
11,"Hyundai Xcent 1.2 VTVT SX","Hyundai",475000,2018,1197,"1","Manual",60000,"3rd","Petrol",81.86,5.0,20.14,"Sedan","Agra"
12,"Maruti Ciaz Sigma BSIV","Maruti",686000,2020,1462,"1","Manual",50000,"4th","Petrol",103.25,5.0,21.56,"Sedan","Agra"
13,"Hyundai Venue SX Opt Executive Diesel","Hyundai",1250000,2021,1493,"1","Manual",60000,"2nd","Diesel",98.6,5.0,23.7,"SUV","Agra"
14,"Hyundai Venue SX Dual Tone Diesel BSIV","Hyundai",1100000,2021,1396,"1","Manual",60000,"2nd","Diesel",89.0,5.0,23.7,"SUV","Agra"
15,"Maruti Alto K10 VXI AGS Optional","Maruti",395000,2019,998,"1","Automatic",20000,"2nd","Petrol",67.1,5.0,23.95,"Hatchback","Agra"
16,"Maruti Wagon R LXI CNG","Maruti",350000,2016,998,"1","Manual",40000,"2nd","CNG",58.16,5.0,26.6,"Hatchback","Agra"
17,"Toyota Etios VX","Toyota",289000,2011,1496,"1","Manual",50000,"3rd","Petrol",88.7,5.0,17.6,"Sedan","Agra"
18,"Toyota Corolla Altis Diesel D4DGL","Toyota",282000,2011,1364,"1","Manual",150000,"2nd","Diesel",87.2,5.0,21.43,"Sedan","Agra"
19,"Kia Sonet HTX Plus Turbo iMT BSVI","Kia",1000000,2021,998,"1","Manual",10000,"2nd","Petrol",118.36,5.0,18.2,"SUV","Agra"
20,"Maruti Ciaz Alpha BSVI","Maruti",785000,2020,1462,"1","Manual",30000,"3rd","Petrol",103.25,5.0,20.65,"Sedan","Agra"
21,"Ford Ecosport 1.5 DV5 MT Ambiente","Ford",300000,2014,1498,"1","Manual",150000,"4th","Diesel",89.84,5.0,22.7,"SUV","Agra"
22,"Mitsubishi Outlander 2.4","Mitsubishi",397000,2011,2360,"1","Automatic",80000,"3rd","Petrol",170.0,5.0,11.3,"SUV","Agra"
23,"Maruti Swift Dzire VDI","Maruti",375000,2015,1248,"1","Manual",20000,"2nd","Diesel",74.0,5.0,26.59,"Sedan","Agra"
24,"Maruti Alto K10 LXI","Maruti",100000,2011,998,"1","Manual",120000,"4th","Petrol",67.1,5.0,20.92,"Hatchback","Agra"
25,"Mitsubishi Outlander 2.4","Mitsubishi",397000,2011,2360,"1","Automatic",80000,"3rd","Petrol",170.0,5.0,11.3,"SUV","Agra"
26,"Maruti Baleno Zeta","Maruti",675000,2021,1197,"1","Manual",40000,"2nd","Petrol",81.8,5.0,21.01,"Hatchback","Agra"
27,"Hyundai Xcent 1.2 VTVT SX","Hyundai",465000,2018,1197,"1","Manual",60000,"3rd","Petrol",81.86,5.0,20.14,"Sedan","Agra"
28,"Maruti Swift Dzire VXI","Maruti",480000,2015,1197,"1","Manual",80000,"3rd","Petrol",83.14,5.0,20.85,"Sedan","Agra"
29,"Maruti Alto 800 LXI","Maruti",225000,2014,796,"1","Manual",100000,"2nd","Petrol",47.3,5.0,22.74,"Hatchback","Agra"
30,"Maruti Wagon R VXI Optional","Maruti",320000,2016,998,"1","Manual",70000,"3rd","Petrol",67.04,5.0,20.51,"Hatchback","Agra"
31,"Hyundai Grand i10 Sportz","Hyundai",415000,2015,1197,"1","Manual",30000,"2nd","Petrol",82.0,5.0,18.9,"Hatchback","Agra"
32,"Maruti Swift VDI","Maruti",240000,2012,1248,"1","Manual",120000,"4th","Diesel",74.0,5.0,22.9,"Hatchback","Agra"
33,"Mahindra XUV500 W6 2WD","Mahindra",350000,2013,2179,"1","Manual",100000,"4th","Diesel",140.0,7.0,15.1,"SUV","Agra"
34,"Mahindra XUV500 W6 2WD","Mahindra",350000,2013,2179,"1","Manual",100000,"4th","Diesel",140.0,7.0,15.1,"SUV","Agra"
35,"Tata New Safari DICOR 2.2 EX 4x2","Tata",296000,2013,2179,"1","Manual",90000,"3rd","Diesel",138.1,7.0,11.57,"SUV","Agra"
36,"Tata New Safari DICOR 2.2 EX 4x2","Tata",296000,2013,2179,"1","Manual",90000,"3rd","Diesel",138.1,7.0,11.57,"SUV","Agra"
37,"Tata Tiago 1.2 Revotron XE","Tata",316000,2018,1199,"1","Manual",100000,"2nd","Petrol",84.0,5.0,23.84,"Hatchback","Agra"
38,"Maruti Vitara Brezza ZDi Plus Dual Tone","Maruti",750000,2017,1248,"1","Manual",100000,"3rd","Diesel",88.5,5.0,24.3,"SUV","Agra"
39,"Maruti Ertiga VDI","Maruti",900000,2019,1248,"1","Manual",120000,"2nd","Diesel",88.5,7.0,25.47,"MUV","Agra"
40,"Maruti Celerio VXI BSVI","Maruti",560000,2022,998,"1","Manual",10000,"2nd","Petrol",65.71,5.0,25.24,"Hatchback","Agra"
41,"Maruti Vitara Brezza ZDi Plus","Maruti",800000,2017,1248,"1","Manual",150000,"2nd","Diesel",88.5,5.0,24.3,"SUV","Agra"
42,"Hyundai Creta 1.4 E Plus","Hyundai",900000,2017,1396,"1","Manual",120000,"3rd","Diesel",88.7,5.0,22.1,"SUV","Agra"
43,"Maruti Alto 800 LXI","Maruti",280000,2019,796,"1","Manual",80000,"2nd","Petrol",47.33,5.0,22.05,"Hatchback","Agra"
44,"Toyota Innova 2.5 E Diesel MS 7-seater","Toyota",550000,2013,2494,"1","Manual",90000,"3rd","Diesel",100.6,7.0,11.4,"","Agra"
45,"Toyota Innova 2.5 G (Diesel) 7 Seater BS III","Toyota",250000,2009,2494,"1","Manual",150000,"2nd","Diesel",102.0,8.0,12.8,"MUV","Agra"
46,"Tata Manza Aqua Quadrajet","Tata",150000,2011,1248,"1","Manual",150000,"2nd","Diesel",90.0,5.0,18.8,"Sedan","Agra"
47,"Tata Manza Aqua Quadrajet","Tata",150000,2011,1248,"1","Manual",150000,"2nd","Diesel",90.0,5.0,18.8,"Sedan","Agra"
48,"Hyundai Grand i10 1.2 CRDi Sportz Option","Hyundai",480000,2017,1186,"1","Manual",20000,"2nd","Diesel",73.97,5.0,24.0,"Hatchback","Agra"
49,"Maruti Eeco CNG 5 Seater AC BSIV","Maruti",300000,2017,1196,"1","Manual",150000,"2nd","CNG",61.7,5.0,21.94,"Minivans","Agra"
50,"Maruti Eeco CNG 5 Seater AC BSIV","Maruti",300000,2017,1196,"1","Manual",150000,"2nd","CNG",61.7,5.0,21.94,"Minivans","Agra"
51,"Maruti Eeco CNG 5 Seater AC BSIV","Maruti",300000,2017,1196,"1","Manual",150000,"2nd","CNG",61.7,5.0,21.94,"Minivans","Agra"
52,"Audi A4 2.0 TDI","Audi",1200000,2014,1968,"1","Automatic",30000,"3rd","Diesel",147.51,5.0,16.55,"Sedan","Agra"
53,"Hyundai i20 Sportz BSVI","Hyundai",800000,2022,1197,"1","Manual",10000,"2nd","Petrol",81.8,5.0,21.0,"Hatchback","Agra"
54,"Volkswagen Polo Diesel Trendline 1.2L","Volkswagen",200000,2012,1199,"1","Manual",80000,"","Diesel",73.9,5.0,22.07,"Hatchback","Agra"
55,"Maruti Vitara Brezza VDi","Maruti",740000,2019,1248,"1","Manual",80000,"3rd","Diesel",88.5,5.0,24.3,"SUV","Agra"
56,"Hyundai Santro Xing GLS","Hyundai",150000,2009,1086,"1","Manual",30000,"2nd","Petrol",62.1,5.0,17.92,"Hatchback","Agra"
57,"Maruti Swift Dzire VDI","Maruti",520000,2016,1248,"1","Manual",30000,"2nd","Diesel",74.0,5.0,26.59,"Sedan","Agra"
58,"Hyundai i10 Sportz 1.2","Hyundai",170000,2010,1197,"1","Manual",80000,"4th","Petrol",78.9,5.0,20.36,"Hatchback","Agra"
59,"Hyundai Venue S BSIV","Hyundai",710000,2021,1197,"1","Manual",30000,"2nd","Petrol",81.86,5.0,17.52,"SUV","Agra"
60,"Skoda Rapid 1.0 TSI Onyx","Skoda",950000,2021,999,"1","Manual",20000,"2nd","Petrol",108.62,5.0,18.97,"Sedan","Agra"
61,"Ford Figo Diesel ZXI","Ford",240000,2013,1399,"1","Manual",70000,"2nd","Diesel",68.05,5.0,20.0,"Hatchback","Agra"
62,"Skoda Rapid 1.0 TSI Onyx","Skoda",930000,2021,999,"1","Manual",20000,"2nd","Petrol",108.62,5.0,18.97,"Sedan","Agra"
63,"MG Hector Plus Select Diesel MT 7 STR","MG",1922000,2022,1956,"1","Manual",20000,"2nd","Diesel",167.67,7.0,16.56,"SUV","Agra"
64,"Hyundai EON D Lite","Hyundai",150000,2013,814,"1","Manual",50000,"3rd","Petrol",55.2,5.0,21.1,"Hatchback","Agra"
65,"Hyundai Grand i10 Magna","Hyundai",380000,2015,1197,"1","Manual",30000,"2nd","Petrol",82.0,5.0,18.9,"Hatchback","Agra"
66,"Tata Punch Adventure BSVI","Tata",590000,2021,1199,"1","Manual",30000,"2nd","Petrol",86.63,5.0,20.09,"SUV","Agra"
67,"Volkswagen Polo 1.5 TDI Comfortline","Volkswagen",400000,2016,1498,"1","Manual",150000,"2nd","Diesel",88.0,5.0,20.14,"Hatchback","Agra"
68,"Toyota Etios Liva GD","Toyota",300000,2013,1364,"1","Manual",40000,"2nd","Diesel",67.06,5.0,23.59,"Hatchback","Agra"
69,"Renault Duster 85PS Diesel RxE","Renault",500000,2017,1461,"1","Manual",120000,"2nd","Diesel",83.8,5.0,19.87,"SUV","Agra"
70,"Maruti Alto 800 LXI","Maruti",210000,2015,796,"1","Manual",20000,"2nd","Petrol",47.3,5.0,22.74,"Hatchback","Agra"
71,"Maruti Wagon R LX Minor","Maruti",100000,2009,998,"1","Manual",90000,"3rd","Petrol",67.1,5.0,18.9,"Hatchback","Agra"
72,"Mahindra XUV500 W10 2WD","Mahindra",900000,2015,2179,"1","Manual",50000,"2nd","Diesel",140.0,7.0,16.0,"SUV","Agra"
73,"Kia Seltos HTX Diesel","Kia",1349000,2020,1493,"1","Manual",70000,"2nd","Diesel",113.43,5.0,20.8,"SUV","Agra"
74,"Maruti Swift Dzire VDI","Maruti",650000,2019,1248,"1","Manual",50000,"2nd","Diesel",74.02,5.0,28.4,"Sedan","Agra"
75,"Maruti Wagon R LXI","Maruti",475000,2019,998,"1","Manual",20000,"2nd","Petrol",67.05,5.0,21.79,"Hatchback","Agra"
76,"Nissan Terrano XE 85 PS","Nissan",320000,2014,1461,"1","Manual",90000,"3rd","Diesel",83.8,5.0,20.45,"SUV","Agra"
77,"Maruti Swift Dzire VDI","Maruti",650000,2019,1248,"1","Manual",50000,"2nd","Diesel",74.02,5.0,28.4,"Sedan","Agra"
78,"Hyundai Grand i10 Sportz","Hyundai",370000,2015,1197,"1","Manual",60000,"3rd","Petrol",82.0,5.0,18.9,"Hatchback","Agra"
79,"Maruti Wagon R LXI Minor","Maruti",110000,2009,1061,"1","Manual",90000,"3rd","Petrol",67.0,5.0,18.9,"Hatchback","Agra"
80,"Chevrolet Spark 1.0 LT Option Pack","Chevrolet",50000,2009,995,"1","Manual",60000,"3rd","Petrol",63.0,5.0,16.0,"Hatchback","Agra"
81,"Ford Figo Titanium Diesel","Ford",550000,2020,1499,"1","Manual",60000,"3rd","Diesel",98.96,5.0,24.4,"Hatchback","Agra"
82,"Honda Jazz 1.5 E i DTEC","Honda",390000,2015,1498,"1","Manual",90000,"3rd","Diesel",98.6,5.0,27.3,"Hatchback","Agra"
83,"Hyundai i10 Magna 1.1L","Hyundai",250000,2017,1086,"1","Manual",20000,"3rd","Petrol",68.05,5.0,19.81,"Hatchback","Agra"
84,"Maruti Alto 800 VXI","Maruti",200000,2013,796,"1","Manual",80000,"2nd","Petrol",47.3,5.0,22.74,"Hatchback","Agra"
85,"Maruti Swift Dzire VXI BSVI","Maruti",725000,2022,1197,"1","Manual",10000,"2nd","Petrol",88.5,5.0,22.41,"Sedan","Agra"
86,"Honda Jazz 1.5 V i DTEC","Honda",450000,2017,1498,"1","Manual",110000,"2nd","Diesel",98.6,5.0,27.3,"Hatchback","Agra"
87,"Honda City i-DTEC ZX","Honda",750000,2017,1498,"1","Manual",120000,"2nd","Diesel",97.9,5.0,25.6,"Sedan","Agra"
88,"Toyota Etios Liva GD","Toyota",215000,2011,1364,"1","Manual",70000,"4th","Diesel",0.0,5.0,23.59,"Hatchback","Agra"
89,"Maruti Alto 800 VXI","Maruti",206000,2013,796,"1","Manual",80000,"2nd","Petrol",47.3,5.0,22.74,"Hatchback","Agra"
90,"Mahindra XUV500 W8 2WD","Mahindra",550000,2015,2179,"1","Manual",120000,"2nd","Diesel",140.0,7.0,16.0,"SUV","Agra"
91,"Maruti Wagon R LXI CNG","Maruti",250000,2012,998,"1","Manual",150000,"2nd","CNG",58.2,5.0,26.2,"Hatchback","Agra"
92,"Maruti Alto 800 VXI","Maruti",210000,2013,796,"1","Manual",80000,"2nd","Petrol",47.3,5.0,22.74,"Hatchback","Agra"
93,"Toyota Etios V","Toyota",250000,2011,1496,"1","Manual",70000,"3rd","Petrol",0.0,5.0,17.6,"Sedan","Agra"
94,"Renault KWID RXL","Renault",185000,2016,799,"1","Manual",60000,"3rd","Petrol",53.3,5.0,25.17,"Hatchback","Agra"
95,"Hyundai Grand i10 Sportz","Hyundai",300000,2014,1197,"1","Manual",70000,"4th","Petrol",82.0,5.0,18.9,"Hatchback","Agra"
96,"Chevrolet Spark 1.0 LT","Chevrolet",50000,2009,995,"1","Manual",60000,"4th","Petrol",62.0,5.0,18.0,"Hatchback","Agra"
97,"Chevrolet Spark 1.0 LT","Chevrolet",50000,2009,995,"1","Manual",60000,"3rd","Petrol",62.0,5.0,18.0,"Hatchback","Agra"
98,"Hyundai Grand i10 CRDi Sportz","Hyundai",250000,2013,1120,"1","Manual",100000,"3rd","Diesel",70.0,5.0,24.0,"Hatchback","Agra"
99,"Maruti SX4 ZXI MT BSIV","Maruti",190000,2012,1586,"1","Manual",120000,"3rd","Petrol",103.3,5.0,15.5,"Sedan","Agra"
100,"Maruti Swift Dzire VXI 1.2","Maruti",650000,2019,1197,"1","Manual",40000,"2nd","Petrol",81.8,5.0,21.21,"Sedan","Agra"
101,"Mahindra Scorpio VLX SE BSIV","Mahindra",500000,2013,2179,"1","Manual",80000,"2nd","Diesel",120.0,8.0,15.4,"SUV","Agra"
102,"Honda Amaze E i-Dtech","Honda",190000,2013,1498,"1","Manual",120000,"2nd","Diesel",98.6,5.0,25.8,"Sedan","Agra"
103,"Maruti Baleno 1.2 Zeta","Maruti",570000,2019,1197,"1","Manual",80000,"3rd","Petrol",83.1,5.0,21.4,"Hatchback","Agra"
104,"Maruti Swift Dzire ZDI","Maruti",350000,2014,1248,"1","Manual",80000,"3rd","Diesel",74.0,5.0,23.4,"Sedan","Agra"
105,"Honda City i DTEC S","Honda",380000,2014,1498,"1","Manual",120000,"","Diesel",98.6,5.0,26.0,"Sedan","Agra"
106,"Maruti Vitara Brezza VDi","Maruti",780000,2019,1248,"1","Manual",100000,"2nd","Diesel",88.5,5.0,24.3,"SUV","Agra"
107,"Renault KWID STD","Renault",240000,2018,799,"1","Manual",20000,"2nd","Petrol",53.3,5.0,25.17,"Hatchback","Agra"
108,"Tata Nexon XM BSVI","Tata",840000,2021,1199,"1","Manual",10000,"2nd","Petrol",118.35,5.0,17.33,"SUV","Agra"
109,"Ford Ecosport 1.5 DV5 MT Trend","Ford",250000,2013,1498,"1","Manual",100000,"3rd","Diesel",89.84,5.0,22.7,"SUV","Agra"
110,"Maruti Swift VDI BSIV","Maruti",400000,2014,1248,"1","Manual",100000,"3rd","Diesel",74.0,5.0,25.2,"Hatchback","Agra"
111,"Maruti Wagon R LXI Minor","Maruti",150000,2009,1061,"1","Manual",80000,"2nd","Petrol",67.0,5.0,18.9,"Hatchback","Agra"
112,"Tata Indica Aqua 1.3 Quadrajet","Tata",100000,2009,1248,"1","Manual",70000,"3rd","Diesel",75.0,5.0,18.0,"Hatchback","Agra"
113,"Mahindra XUV500 W7","Mahindra",1275000,2020,2179,"1","Manual",50000,"2nd","Diesel",152.87,7.0,15.1,"SUV","Agra"
114,"Datsun GO Plus T BSIV","Datsun",270000,2015,1198,"1","Manual",30000,"3rd","Petrol",67.0,7.0,19.44,"MUV","Agra"
115,"Mahindra XUV500 W7","Mahindra",1275000,2020,2179,"1","Manual",50000,"2nd","Diesel",152.87,7.0,15.1,"SUV","Agra"
116,"Chevrolet Beat Diesel","Chevrolet",220000,2012,936,"1","Manual",70000,"3rd","Diesel",57.6,5.0,25.44,"Hatchback","Agra"
117,"Ford Aspire 1.5 TDCi Titanium","Ford",600000,2017,1498,"1","Manual",50000,"2nd","Diesel",99.0,5.0,25.83,"Sedan","Agra"
118,"Mahindra XUV500 W4","Mahindra",900000,2016,2179,"1","Manual",50000,"2nd","Diesel",140.0,7.0,16.0,"SUV","Agra"
119,"Maruti Wagon R ZXI 1.2","Maruti",495000,2019,1197,"1","Manual",20000,"2nd","Petrol",81.8,5.0,20.52,"Hatchback","Agra"
120,"Mahindra XUV300 W8 Option AMT BSVI","Mahindra",980000,2022,1197,"1","Automatic",60000,"2nd","Petrol",108.62,5.0,16.5,"SUV","Agra"
121,"Kia Seltos GTX DCT","Kia",1375000,2019,1353,"1","Automatic",20000,"2nd","Petrol",138.0,5.0,16.2,"SUV","Agra"
122,"Maruti Wagon R VXI BS IV","Maruti",340000,2015,998,"1","Manual",40000,"2nd","Petrol",67.04,5.0,20.51,"Hatchback","Agra"
123,"MG Hector Sharp DCT","MG",1300000,2020,1451,"1","Automatic",40000,"3rd","Petrol",141.0,5.0,13.96,"SUV","Agra"
124,"Tata Nexon 1.2 Revotron XT","Tata",600000,2019,1198,"1","Manual",70000,"2nd","Petrol",108.5,5.0,17.0,"SUV","Agra"
125,"Honda Brio V MT","Honda",300000,2012,1198,"1","Manual",60000,"2nd","Petrol",86.8,5.0,19.4,"Hatchback","Agra"
126,"Renault Fluence Diesel E4","Renault",500000,2013,1461,"1","Manual",150000,"3rd","Diesel",78.0,5.0,21.8,"Sedan","Agra"
127,"Toyota Yaris G Optional","Toyota",1099000,2020,1496,"1","Manual",40000,"2nd","Petrol",105.94,5.0,17.1,"Sedan","Agra"
128,"Honda City 1.5 V MT","Honda",350000,2011,1497,"1","Manual",90000,"3rd","Petrol",118.0,5.0,17.0,"Sedan","Agra"
129,"Renault Triber RXL BSIV","Renault",435000,2019,999,"1","Manual",20000,"2nd","Petrol",72.0,7.0,20.0,"MUV","Agra"
130,"Maruti Wagon R LXI BS IV","Maruti",186000,2012,998,"1","Manual",100000,"3rd","Petrol",67.1,5.0,18.9,"Hatchback","Agra"
131,"Maruti Eeco CNG 5 Seater AC","Maruti",625000,2022,1196,"1","Manual",20000,"2nd","CNG",61.68,5.0,20.88,"Minivans","Agra"
132,"Maruti Eeco CNG 5 Seater AC","Maruti",625000,2022,1196,"1","Manual",20000,"2nd","CNG",61.68,5.0,20.88,"Minivans","Agra"
133,"Renault Duster 110PS Diesel RxZ","Renault",450000,2012,1461,"1","Manual",120000,"3rd","Diesel",108.45,5.0,19.01,"SUV","Agra"
134,"Hyundai i20 1.4 Asta","Hyundai",650000,2017,1396,"1","Manual",80000,"2nd","Diesel",88.73,5.0,22.54,"Hatchback","Agra"
135,"Maruti Wagon R LXI CNG","Maruti",350000,2018,998,"1","Manual",150000,"2nd","CNG",58.16,5.0,26.6,"Hatchback","Agra"
136,"Hyundai i10 Magna 1.2","Hyundai",130000,2009,1197,"1","Manual",50000,"2nd","Petrol",78.9,5.0,20.36,"Hatchback","Agra"
137,"Maruti Swift VDI BSIV","Maruti",500000,2017,1248,"1","Manual",70000,"2nd","Diesel",74.0,5.0,25.2,"Hatchback","Agra"
138,"Mahindra Bolero B6 Opt BSVI","Mahindra",950000,2021,1493,"1","Manual",10000,"2nd","Diesel",74.96,7.0,16.0,"SUV","Agra"
139,"Hyundai Creta 1.6 CRDi SX","Hyundai",700000,2017,1582,"1","Manual",120000,"4th","Diesel",126.2,5.0,19.67,"SUV","Agra"
140,"Ford Fiesta 1.4 ZXi TDCi ABS","Ford",140000,2009,1399,"1","Manual",120000,"4th","Diesel",68.0,5.0,17.8,"Sedan","Agra"
141,"Tata New Safari DICOR 2.2 LX 4x2","Tata",200000,2010,2179,"1","Manual",120000,"2nd","Diesel",138.1,7.0,11.57,"SUV","Agra"
142,"Renault KWID Climber 1.0 AMT","Renault",320000,2018,999,"1","Automatic",20000,"2nd","Petrol",67.0,5.0,24.04,"Hatchback","Agra"
143,"Hyundai i10 Magna","Hyundai",200000,2011,1197,"1","Manual",40000,"2nd","Petrol",78.9,5.0,20.36,"Hatchback","Agra"
144,"Hyundai i20 Magna 1.2","Hyundai",410000,2015,1197,"1","Manual",90000,"3rd","Petrol",81.83,5.0,18.6,"Hatchback","Agra"
145,"Maruti Swift VXI","Maruti",440000,2016,1197,"1","Manual",30000,"3rd","Petrol",81.8,5.0,21.21,"Hatchback","Agra"
146,"Jeep Compass Model S DCT BSVI","Jeep",2500000,2022,1368,"1","Automatic",20000,"2nd","Petrol",160.77,5.0,14.1,"SUV","Agra"
147,"Maruti Swift Dzire VXI 1.2","Maruti",650000,2019,1197,"1","Manual",40000,"2nd","Petrol",81.8,5.0,21.21,"Sedan","Agra"
148,"Toyota Glanza G","Toyota",630000,2020,1197,"1","Manual",30000,"2nd","Petrol",81.8,5.0,21.01,"Hatchback","Agra"
149,"Toyota Etios GD","Toyota",200000,2012,1364,"1","Manual",150000,"","Diesel",0.0,5.0,23.59,"Sedan","Agra"
150,"Maruti Eeco 7 Seater Standard BSIV","Maruti",350000,2018,1196,"1","Manual",100000,"3rd","Petrol",73.0,7.0,15.37,"Minivans","Agra"
151,"Honda Amaze S Diesel BSIV","Honda",400000,2016,1498,"1","Manual",150000,"2nd","Diesel",98.63,5.0,27.4,"Sedan","Agra"
152,"Chevrolet Beat LT","Chevrolet",150000,2011,1199,"1","Manual",90000,"2nd","Petrol",79.4,5.0,18.6,"Hatchback","Agra"
153,"Honda Amaze E Diesel BSIV","Honda",425000,2016,1498,"1","Manual",150000,"2nd","Diesel",98.63,5.0,27.4,"Sedan","Agra"
154,"Maruti Swift Dzire VDI","Maruti",425000,2016,1248,"1","Manual",80000,"3rd","Diesel",74.0,5.0,26.59,"Sedan","Agra"
155,"Maruti Swift Dzire VXI","Maruti",400000,2017,1197,"1","Manual",70000,"3rd","Petrol",83.14,5.0,20.85,"Sedan","Agra"
156,"Maruti Swift VXI","Maruti",460000,2016,1197,"1","Manual",30000,"3rd","Petrol",81.8,5.0,21.21,"Hatchback","Agra"
157,"Mahindra KUV 100 mFALCON D75 K8","Mahindra",330000,2017,1198,"1","Manual",70000,"2nd","Diesel",77.0,6.0,25.32,"SUV","Agra"
158,"Nissan Magnite XE BSVI","Nissan",470000,2021,999,"1","Manual",30000,"2nd","Petrol",71.02,5.0,18.75,"SUV","Agra"
159,"Hyundai Creta 1.6 SX Automatic Diesel","Hyundai",1150000,2018,1582,"1","Automatic",70000,"3rd","Diesel",126.2,5.0,17.6,"SUV","Agra"
160,"Maruti Ciaz Delta BSVI","Maruti",725000,2020,1462,"1","Manual",60000,"3rd","Petrol",103.25,5.0,20.65,"Sedan","Agra"
161,"Hyundai i20 Active 1.4 SX","Hyundai",400000,2015,1396,"1","Manual",80000,"4th","Diesel",88.73,5.0,21.19,"Hatchback","Agra"
162,"Hyundai Grand i10 CRDi Asta","Hyundai",250000,2013,1120,"1","Manual",150000,"2nd","Diesel",70.0,5.0,24.0,"Hatchback","Agra"
163,"MG Astor Sharp BSVI","MG",1450000,2022,1498,"1","Manual",40000,"2nd","Petrol",108.49,5.0,15.43,"SUV","Agra"
164,"Hyundai i20 Sportz 1.2","Hyundai",690000,2020,1197,"1","Manual",40000,"2nd","Petrol",81.83,5.0,18.6,"Hatchback","Agra"
165,"Hyundai i20 Asta 1.2","Hyundai",350000,2015,1197,"1","Manual",120000,"","Petrol",81.83,5.0,18.6,"Hatchback","Agra"
166,"Maruti Celerio Tour 2018-2021 H2 CNG","Maruti",342000,2020,998,"1","Manual",150000,"2nd","CNG",0.0,5.0,0.0,"Hatchback","Agra"
167,"Hyundai i20 Asta 1.2","Hyundai",350000,2015,1197,"1","Manual",120000,"","Petrol",81.83,5.0,18.6,"Hatchback","Agra"
168,"Hyundai i20 Active 1.4 SX","Hyundai",400000,2015,1396,"1","Manual",80000,"4th","Diesel",88.73,5.0,21.19,"Hatchback","Agra"
169,"Maruti Ertiga ZDI","Maruti",425000,2013,1248,"1","Manual",80000,"4th","Diesel",88.8,7.0,20.77,"MUV","Agra"
170,"Audi Q3 2.0 TDI Quattro Premium Plus","Audi",1100000,2014,1968,"1","Automatic",80000,"3rd","Diesel",174.33,5.0,15.73,"SUV","Agra"
171,"Tata Punch Pure Rhythm BSVI","Tata",600000,2022,1199,"1","Manual",10000,"2nd","Petrol",86.63,5.0,20.09,"SUV","Agra"
172,"Hyundai i20 Magna","Hyundai",150000,2009,1197,"1","Manual",150000,"4th","Petrol",80.0,5.0,18.5,"Hatchback","Agra"
173,"Honda CR-V 2.4 4WD AT","Honda",170000,2004,2354,"1","Automatic",150000,"3rd","Petrol",152.0,5.0,10.1,"SUV","Agra"
174,"Maruti Wagon R LXI CNG","Maruti",160000,2011,998,"1","Manual",70000,"","CNG",58.2,5.0,26.2,"Hatchback","Agra"
175,"Hyundai i20 Magna","Hyundai",140000,2009,1197,"1","Manual",150000,"3rd","Petrol",80.0,5.0,18.5,"Hatchback","Agra"
176,"Skoda Fabia 1.2 TDI Active Plus","Skoda",140000,2011,1199,"1","Manual",90000,"4th","Diesel",75.0,5.0,20.86,"Hatchback","Agra"
177,"Mahindra Thar LX 4-Str Hard Top Diesel BSVI","Mahindra",1500000,2021,2184,"1","Manual",50000,"3rd","Diesel",130.0,4.0,15.2,"SUV","Agra"
178,"Maruti Wagon R VXI BS IV","Maruti",225000,2011,998,"1","Manual",60000,"2nd","Petrol",67.1,5.0,18.9,"Hatchback","Agra"
179,"Hyundai i20 Petrol Magna","Hyundai",550000,2019,1197,"1","Manual",40000,"3rd","Petrol",81.86,5.0,18.6,"Hatchback","Agra"
